epoch,loss,val_loss,accuracy,val_accuracy
0,0.32332202792167664,0.20432868599891663,0.8781944513320923,0.9241071343421936
1,0.09939651191234589,0.05179208889603615,0.9665277600288391,0.984375
2,0.07921396940946579,0.059360843151807785,0.9740277528762817,0.9787946343421936
3,0.06527601927518845,0.07406625896692276,0.9794444441795349,0.9743303656578064
4,0.05885748192667961,0.08598468452692032,0.9815278053283691,0.97265625
5,0.056584764271974564,0.0413999930024147,0.9808333516120911,0.9860491156578064
6,0.044154584407806396,0.06851805001497269,0.9847221970558167,0.9782366156578064
7,0.03206884488463402,0.13787750899791718,0.9898611307144165,0.9654017686843872
8,0.04587750509381294,0.04230181500315666,0.9848611354827881,0.9838169813156128
9,0.03532261401414871,0.03268580511212349,0.9883333444595337,0.9927455186843872
10,0.042084950953722,0.04230285808444023,0.9868055582046509,0.9905133843421936
11,0.03538363426923752,0.03680066391825676,0.9880555272102356,0.9871651530265808
12,0.04068700224161148,0.02334487810730934,0.9879166483879089,0.9944196343421936
13,0.03948105871677399,0.029491251334547997,0.9888888597488403,0.9905133843421936
14,0.02801130712032318,0.05083534121513367,0.9918055534362793,0.9854910969734192
15,0.03613407537341118,0.04029529169201851,0.9883333444595337,0.9899553656578064
16,0.029681485146284103,0.04485592246055603,0.9911110997200012,0.9888392686843872
17,0.03296218067407608,0.019199075177311897,0.9909722208976746,0.9921875
18,0.029628951102495193,0.036569494754076004,0.9901388883590698,0.9927455186843872
19,0.023685818538069725,0.027612930163741112,0.9938889145851135,0.9905133843421936
